Player,Debuted,Debut_age,Retired,Ret_age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,HOF
Hal Trosky,1933,20,1946,33,1347,5750,5161,835,1561,944,331,58,228,1012,28,23.0,545,440.0,0.302,0.371,0.522,0.892,130,2692,43.0,16,25.0,0.0,78.0,0
Marquis Grissom,1989,22,2005,38,2165,8959,8275,1187,2251,1582,386,56,227,967,429,116.0,553,1240.0,0.272,0.318,0.415,0.732,92,3430,171.0,31,38.0,62.0,44.0,0
Johnny Callison,1958,19,1973,34,1886,7437,6652,926,1757,1121,321,89,226,840,74,51.0,650,1064.0,0.264,0.331,0.441,0.773,115,2934,98.0,41,51.0,43.0,73.0,0
Bobby Grich,1970,21,1986,37,2008,8220,6890,1033,1833,1242,320,47,224,864,104,83.0,1087,1278.0,0.266,0.371,0.424,0.794,125,2919,157.0,86,107.0,50.0,50.0,0
Bobby Doerr,1937,19,1951,33,1865,8030,7093,1094,2042,1349,381,89,223,1247,54,64.0,809,608.0,0.288,0.362,0.461,0.823,115,3270,187.0,11,115.0,0.0,53.0,1
Travis Fryman,1990,21,2002,33,1698,7217,6481,895,1776,1168,345,40,223,1022,72,38.0,602,1369.0,0.274,0.336,0.443,0.779,104,2870,154.0,41,15.0,78.0,19.0,0
Mike Lowell,1998,24,2010,36,1601,6500,5813,771,1619,995,394,7,223,952,30,14.0,548,817.0,0.279,0.342,0.464,0.805,108,2696,170.0,52,1.0,84.0,45.0,0
Jason Bay,2003,24,2013,34,1278,5258,4505,737,1200,708,240,30,222,754,95,17.0,636,1216.0,0.266,0.36,0.481,0.841,121,2166,84.0,56,7.0,54.0,38.0,0
Don Mattingly,1982,21,1995,34,1785,7722,7003,1007,2153,1469,442,20,222,1099,14,9.0,588,444.0,0.307,0.358,0.471,0.83,127,3301,191.0,21,13.0,96.0,136.0,0
Tony Batista,1996,22,2007,33,1309,4959,4568,625,1146,682,226,17,221,718,47,26.0,287,790.0,0.251,0.299,0.453,0.752,93,2069,109.0,47,10.0,47.0,27.0,0
Geoff Jenkins,1998,23,2008,33,1349,5254,4700,688,1293,747,303,22,221,733,32,14.0,418,1186.0,0.275,0.344,0.49,0.834,114,2303,113.0,96,3.0,37.0,77.0,0
Tony Oliva,1962,23,1976,37,1676,6880,6301,870,1917,1320,329,48,220,947,86,55.0,448,645.0,0.304,0.353,0.476,0.83,131,3002,139.0,59,14.0,57.0,131.0,1
Jim Bottomley,1922,22,1937,37,1991,8358,7471,1177,2313,1478,465,151,219,1422,58,55.0,664,591.0,0.31,0.369,0.5,0.869,125,3737,33.0,43,177.0,0.0,35.0,1
Al Oliver,1968,21,1985,38,2368,9778,9049,1189,2743,1918,529,77,219,1326,84,64.0,535,756.0,0.303,0.344,0.451,0.795,121,4083,254.0,82,17.0,95.0,119.0,0
Joe Pepitone,1962,21,1973,32,1397,5476,5097,606,1315,903,158,35,219,721,41,32.0,302,526.0,0.258,0.301,0.432,0.733,105,2200,124.0,28,14.0,35.0,73.0,0
Bob Horner,1978,20,1988,30,1020,4213,3777,560,1047,652,169,8,218,685,14,18.0,369,512.0,0.277,0.34,0.499,0.839,127,1886,111.0,16,1.0,50.0,39.0,0
Benito Santiago,1986,21,2005,40,1978,7516,6951,755,1830,1249,323,41,217,920,91,69.0,430,1270.0,0.263,0.307,0.415,0.722,93,2886,204.0,38,26.0,70.0,52.0,0
Ron Fairly,1958,19,1978,39,2442,8437,7184,931,1913,1358,307,33,215,1044,35,33.0,1052,877.0,0.266,0.36,0.408,0.768,117,2931,157.0,40,96.0,65.0,129.0,0
Pedro Guerrero,1978,22,1992,36,1536,6115,5392,730,1618,1107,267,29,215,898,97,47.0,609,862.0,0.3,0.37,0.48,0.85,137,2588,122.0,32,9.0,73.0,115.0,0
Chet Lemon,1975,20,1990,35,1988,7874,6868,973,1875,1203,396,61,215,884,58,76.0,749,1024.0,0.273,0.355,0.442,0.797,121,3038,174.0,151,50.0,54.0,46.0,0
Mike Sweeney,1995,21,2010,36,1454,5848,5188,759,1540,995,325,5,215,909,53,25.0,522,613.0,0.297,0.366,0.486,0.851,118,2520,142.0,74,5.0,59.0,61.0,0
Jeff Conine,1990,24,2007,41,2024,7782,6957,870,1982,1347,385,36,214,1071,54,29.0,671,1168.0,0.285,0.347,0.443,0.789,107,3081,182.0,41,9.0,103.0,46.0,0
Jose Guillen,1997,21,2010,34,1650,6418,5888,748,1591,1047,305,25,214,887,31,26.0,321,1103.0,0.27,0.321,0.44,0.761,99,2588,182.0,145,14.0,46.0,30.0,0
Travis Hafner,2002,25,2013,36,1183,4782,4058,619,1107,631,250,13,213,731,11,7.0,598,976.0,0.273,0.376,0.498,0.874,134,2022,86.0,90,0.0,29.0,81.0,0
Andy Pafko,1943,22,1959,38,1852,7028,6292,844,1796,1257,264,62,213,976,38,47.0,561,477.0,0.285,0.35,0.449,0.799,117,2823,164.0,76,82.0,15.0,65.0,0
Kevin McReynolds,1983,23,1994,34,1502,6039,5423,727,1439,909,284,35,211,807,93,32.0,522,707.0,0.265,0.328,0.447,0.775,115,2426,100.0,14,14.0,66.0,67.0,0
Brandon Phillips,2002,21,2018,37,1902,7992,7378,1005,2029,1415,368,35,211,951,209,84.0,420,1092.0,0.275,0.32,0.42,0.74,95,3100,224.0,92,39.0,62.0,34.0,0
Bill Skowron,1954,23,1967,36,1658,6047,5547,682,1566,1059,243,53,211,888,16,18.0,383,870.0,0.282,0.332,0.459,0.792,119,2548,192.0,54,17.0,45.0,48.0,0
Leon Wagner,1958,24,1969,35,1352,4952,4426,636,1202,826,150,15,211,669,54,24.0,435,656.0,0.272,0.34,0.455,0.795,120,2015,61.0,43,11.0,35.0,64.0,0
Roberto Alomar,1988,20,2004,36,2379,10400,9073,1508,2724,1930,504,80,210,1134,474,114.0,1032,1140.0,0.3,0.371,0.443,0.814,116,4018,206.0,50,148.0,97.0,62.0,1
Brady Anderson,1988,24,2002,38,1834,7737,6499,1062,1661,1046,338,67,210,761,315,100.0,960,1190.0,0.256,0.362,0.425,0.787,109,2763,65.0,154,74.0,50.0,59.0,0
Rico Petrocelli,1963,20,1976,33,1553,6171,5390,653,1352,883,237,22,210,773,10,22.0,661,926.0,0.251,0.332,0.42,0.752,108,2263,127.0,26,36.0,57.0,61.0,0
Wally Post,1949,19,1964,34,1204,4398,4007,594,1064,632,194,28,210,699,19,13.0,331,813.0,0.266,0.323,0.485,0.808,110,1944,93.0,20,10.0,29.0,31.0,0
Phil Nevin,1995,24,2006,35,1217,4703,4188,584,1131,708,209,6,208,743,18,5.0,449,1019.0,0.27,0.343,0.472,0.814,114,1976,112.0,30,3.0,33.0,30.0,0
Jason Thompson,1976,21,1986,31,1418,5686,4802,640,1253,829,204,12,208,782,8,7.0,816,862.0,0.261,0.366,0.438,0.804,122,2105,113.0,9,5.0,54.0,70.0,0
